6,1,:
Имя,Acer Aspire 7 A715-42G-R0VS (NH.QBFEU.00A) Charcoal Black 
Цена, 29 999 
Детальная информация,https://rozetka.com.ua/ua/acer_nh_qbfeu_00a/p282286938/
Колір,Чорний
Вага,2.15 кг
2.15 кг,48 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
"
","
"
6,2,:
Имя,ASUS ExpertBook B1 B1500CEAE-BQ1663 (90NX0441-M20230) Star Black / Intel Core i3-1115G4 / RAM 8 ГБ / SSD 256 ГБ 
Цена, 22 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nx0441-m20230/p344108557/
Колір,Чорний
Вага,1.73 кг
1.73 кг,42 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал + пластик
"
","
"
6,3,:
Имя,Lenovo V14 G2 ALC (82KC003NRA) Black 
Цена, 18 699 
Детальная информация,https://rozetka.com.ua/ua/lenovo-82kc003nra/p334889104/
Колір,Чорний
Вага,1.6 кг
1.6 кг,38 Вт*год
Ємність акумулятора,7.5 годин (MobileMark 2018)
Маніпулятори,324.2 x 215.2 x 19.9 мм
"
","
"
6,4,:
Имя,"Apple MacBook Air 13"" M1 256GB 2020 (MGN63) Space Gray "
Цена, 42 999 
Детальная информация,https://rozetka.com.ua/ua/apple_macbook_air_13_m1_256gb_2020_space_gray/p245161909/
Колір,Сірий
Вага,1.29 кг
1.29 кг,49.9 Вт*год
Ємність акумулятора,"До 15 годин роботи в інтернеті через бездротову мережу До 18 годин під час відтворення фільмів з програми Apple TV Вбудований літій-полімерний акумулятор ємністю 49,9 Вт*год"
Габарити (Ш х Г х В),Retina
"
","
"
6,5,:
Имя,ASUS TUF Gaming F15 FX506HC-HN023 (90NR0723-M00HU0) Eclipse Gray / Intel Core i5-11400H / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050 + миша ASUS TUF GAMING M5 V2 
Цена, 40 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nr0723-m00hu0/p346051810/
Колір,Сірий
Вага,2.3 кг
2.3 кг,48 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
"
","
"
6,6,:
Имя,HP Pavilion Gaming 15-ec2024ua (5A0U9EA) Shadow Black 
Цена, 44 999 
Детальная информация,https://rozetka.com.ua/ua/hp-5a0u9ea/p332906383/
Колір,Чорний
Вага,1.98 кг
1.98 кг,52.5 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
"
","
"
6,7,:
Имя,Acer Aspire 7 A715-42G-R6JB (NH.QDLEU.00H) Charcoal Black 
Цена, 38 999 
Детальная информация,https://rozetka.com.ua/ua/acer-nhqdleu00h/p338274052/
Колір,Чорний
Вага,2.15 кг
2.15 кг,48 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
"
","
"
6,8,:
Имя,ASUS Laptop X515JA-EJ1814 (90NB0SR3-M34690) Peacock Blue / Intel Pentium Gold 6805 / RAM 8 ГБ / SSD 256 ГБ 
Цена, 17 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0sr3-m34690/p346611087/
Колір,Синій
Вага,1.8 кг
1.8 кг,37 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
"
","
"
6,9,:
Имя,Lenovo IdeaPad 3 14ITL6 (82H700PURA) Arctic Grey 
Цена, 15 499 
Детальная информация,https://rozetka.com.ua/ua/lenovo-82h700pura/p332744989/
Колір,Сірий
Вага,1.41 кг
1.41 кг,Dolby Audio
Звукова система,38 Вт*год
Час автономної роботи,324.2 x 215.7 x 19.9 мм
"
","
"
7,0,:
Имя,ASUS TUF Gaming A17 FA706IHR-HX029 (90NR07D5-M000P0) Graphite Black / AMD Ryzen 5 4600H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650 
Цена, 38 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nr07d5-m000p0/p345278746/
Колір,Чорний
Вага,2.6 кг
2.6 кг,48 Вт*год
Ємність акумулятора,Клавіатура NumberPad
Характеристики батареї,17.3'' (1920x1080) Full HD
"
","
"
7,1,:
Имя,Lenovo V14 G2 ITL (Intel i3-1115G4/8/128F/int/W10Pro) Black 
Цена, 16 999 
Детальная информация,https://rozetka.com.ua/ua/lenovo-intel-i3-1115g4-8-128f-int-w10pro/p346132435/
Колір,Чорний
Вага,1.6 кг
1.6 кг,Dolby Audio
Звукова система,38 Вт*год
Час автономної роботи,324.2 x 215.2 x 19.9 мм
"
","
"
7,2,:
Имя,Acer Aspire 7 A715-42G-R8BL (NH.QDLEU.008) Charcoal Black 
Цена, 36 999 
Детальная информация,https://rozetka.com.ua/ua/acer-nhqdleu008/p335892088/
Колір,Чорний
Вага,2.15 кг
2.15 кг,48 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
"
","
"
7,3,:
Имя,ASUS ExpertBook B1 B1500CEAE-BQ1661R (90NX0441-M20210) Star Black / Intel Core i3-1115G4 / RAM 8 ГБ / SSD 256 ГБ / Windows 10 Pro 
Цена, 25 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nx0441-m20210/p334543120/
Колір,Чорний
Вага,1.73 кг
1.73 кг,42 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал + пластик
"
","
"
7,4,:
Имя,"Apple MacBook Pro 16"" M1 Pro 512GB 2021 (MK183UA/A) Space Gray "
Цена, 114 999 
Детальная информация,https://rozetka.com.ua/ua/apple_macbook_pro_16_m1_pro_512gb_2021_space_gray/p322710583/
Колір,Сірий
Вага,2.1 кг
2.1 кг,"Система з шести динаміків Hi-Fi, зокрема низькочастотні з придушенням резонансуШироке стереоПідтримка просторового аудіо під час відтворення музики та відео у форматі Dolby Atmos через вбудовані динамікиПросторове аудіо з функцією динамічного відстеження рухів голови під час використання AirPods (3-го покоління), AirPods Pro або AirPods MaxСистема з трьох напрямних мікрофонів з високим коефіцієнтом сигнал/шум і підтримкою запису аудіо студійної якостіВихід 3.5 мм для навушників (розширена підтримка навушників з високим імпедансом)"
Звукова система,100 Вт*год
Час автономної роботи,"Літій-полімерний акумулятор, 100 Вт*годМожливість швидкого заряджання під час використання адаптера живлення USB-C потужністю 140 Вт"
"
","
"
7,5,:
Имя,ASUS ROG Strix G15 G513RC-HN038 (90NR08A5-M002A0) Eclipse Gray / AMD Ryzen 7 6800H / SSD 512 ГБ / nVidia GeForce RTX 3050 
Цена, 48 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nr08a5-m002a0/p342602632/
Колір,Сірий
Вага,2.1 кг
2.1 кг,56 Вт*год
Ємність акумулятора,Тачпад
Габарити (Ш х Г х В),IPS
"
","
"
7,6,:
Имя,Lenovo IdeaPad 3 14ITL6 (82H700PVRA) Arctic Grey 
Цена, 16 999 
Детальная информация,https://rozetka.com.ua/ua/lenovo-82h700pvra/p328047400/
Колір,Сірий
Вага,1.41 кг
1.41 кг,Dolby Audio
Звукова система,38 Вт*год
Час автономної роботи,324.2 x 215.7 x 19.9 мм
"
","
"
7,7,:
Имя,Acer Nitro 5 AN515-57-54K7 (NH.QESEU.003) Shale Black 
Цена, 41 999 
Детальная информация,https://rozetka.com.ua/ua/acer-nhqeseu003/p322576183/
Колір,Чорний
Вага,2.2 кг
2.2 кг,57 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
"
","
"
7,8,:
Имя,Acer Aspire 5 A515-45G-R9ML (NX.A8CEU.00N) Pure Silver 
Цена, 28 999 
Детальная информация,https://rozetka.com.ua/ua/acer_nx_a8ceu_00n/p282196218/
Колір,Сріблястий
Вага,1.77 кг
1.77 кг,48 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
"
","
"
7,9,:
Имя,ASUS VivoBook 15 OLED K513EA-L12035 (90NB0SG1-M30870) Indie Black / Intel Core i5-1135G7 / RAM 8 ГБ / SSD 512 ГБ 
Цена, 31 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0sg1-m30870/p339784513/
Колір,Чорний
Вага,1.8 кг
1.8 кг,42 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал + пластик
"
","
"
8,0,:
Имя,"Apple MacBook Air 13"" M1 256GB 2020 (Z12700152 / Z12700034) Custom Silver "
Цена, 57 999 
Детальная информация,https://rozetka.com.ua/ua/apple_z12700152/p288094963/
Колір,Сріблястий
Вага,1.29 кг
1.29 кг,49.9 Вт*год
Ємність акумулятора,До 15 годин роботи в інтернеті через бездротову мережу До 18 годин під час відтворення фільмів з програми Apple TV
Маніпулятори,Метал
"
","
"
8,1,:
Имя,HP 250 G8 (27K02EA) Jet Black 
Цена, 17 899 
Детальная информация,https://rozetka.com.ua/ua/hp_27k02ea/p303566893/
Колір,Чорний
Вага,1.74 кг
1.74 кг,41 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Пластик
"
","
"
8,2,:
Имя,ASUS ExpertBook B1 B1400CEAE-BV1887 (90NX0421-M22040) Black / Intel Core i3-1115G4 / RAM 8 ГБ / SSD 256 ГБ 
Цена, 20 699 
Детальная информация,https://rozetka.com.ua/ua/asus-90nx0421-m22040/p325419124/
Колір,Чорний
Вага,1.45 кг
1.45 кг,42 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал + пластик
"
","
"
8,3,:
Имя,ASUS VivoBook 14 K413EP-EB346 (90NB0S3G-M04570) Hearty Gold / Intel Core i5-1135G7 / RAM 8 ГБ / SSD 256 ГБ / nVidia GeForce MX330 
Цена, 28 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0s3g-m04570/p331945309/
Колір,Золотий
Вага,1.4 кг
1.4 кг,42 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал + пластик
"
","
"
8,4,:
Имя,Lenovo IdeaPad 3 14ITL6 (82H700KPRA) Arctic Grey 
Цена, 12 999 
Детальная информация,https://rozetka.com.ua/ua/lenovo-82h700kpra/p337599142/
Колір,Сірий
Вага,1.41 кг
1.41 кг,38 Вт*год
Ємність акумулятора,Тачпад
Габарити (Ш х Г х В),"14"" (1920x1080) Full HD"
"
","
"
8,5,:
Имя,ASUS Vivobook Pro 14 OLED K3400PH-KM131W (90NB0UX3-M02640) Cool Silver / Intel Core i5-11300H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650 / Windows 11 Home 
Цена, 43 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0ux3-m02640/p330927004/
Колір,Сріблястий
Вага,1.4 кг
1.4 кг,Harman/Kardon
Звукова система,63 Вт*год
Маніпулятори,317.4 x 228.5 x 19.3 мм
"
","
"
8,6,:
Имя,Acer Aspire 7 A715-42G-R266 (NH.QDLEU.00M) Charcoal Black 
Цена, 34 999 
Детальная информация,https://rozetka.com.ua/ua/acer-nhqdleu00m/p340152502/
Колір,Чорний
Вага,2.15 кг
2.15 кг,48 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
